borough,total_crimes
barking and dagenham,79757
barnet,111249
bexley,64068
brent,121402
bromley,93165
camden,148041
croydon,134596
ealing,120516
enfield,117846
greenwich,107806
hackney,127313
hammersmith and fulham,82944
haringey,114800
harrow,62097
havering,77839
hillingdon,104651
hounslow,101924
islington,112207
kensington and chelsea,85957
kingston upon thames,46305
lambeth,139278
lewisham,114264
merton,54835
newham,146220
redbridge,96388
richmond upon thames,46739
southwark,143458
sutton,52569
tower hamlets,136752
waltham forest,92687
wandsworth,101738
westminster,314934
