borough,avg_rent
barking and dagenham,900.5
barnet,1264.0
bexley,850.0
brent,1314.0
bromley,1025.0
camden,1733.0
city of london,1830.5
croydon,925.0
ealing,1275.0
enfield,1100.0
greenwich,1162.5
hackney,1451.5
hammersmith and fulham,1549.0
haringey,1264.0
harrow,1175.0
havering,871.0
hillingdon,1025.0
hounslow,1236.5
islington,1603.5
kensington and chelsea,2275.0
kingston upon thames,1225.0
lambeth,1397.5
lewisham,1000.0
merton,1310.5
newham,1072.5
redbridge,928.5
richmond upon thames,1475.0
southwark,1408.0
sutton,937.5
tower hamlets,1508.5
waltham forest,1000.0
wandsworth,1507.5
westminster,2047.5
